Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;TM146;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Chloroflexi;KD4-96;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Pseudarcicella;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Subgroup_2;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Isosphaera;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;FukuN18_freshwater_group;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;OPB35_soil_group;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Sediminibacterium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Anabaena;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;Unknown_Family;Bryobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;DA101_soil_group;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Microcoleus;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Crenotrichaceae;Crenothrix;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Rhizomicrobium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;vadinHA17;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;unclassified;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus_Koribacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Planctomycetes;Phycisphaerae;WD2101_soil_group;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;Verrucomicrobia_Incertae_Sedis;Unknown_Order;Unknown_Family;Candidatus_Methylacidiphilum;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Telmatobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;Unknown_Family;Candidatus_Solibacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;480-2;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylotenera;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;DA111;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Chloroflexi;JG37-AG-4;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus_Rhodoluna;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;mitochondria;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pir4_lineage;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Rhodanobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus_Planktoluna;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;4-29;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Xenophilus;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;MB-A2-108;unclassified;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Subgroup_17;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus_Accumulibacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Holophagae;Subgroup_7;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;WCHB1-69;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylocystis;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;RB41;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Arcicella;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;PRD01a011B;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;GKS98_freshwater_group;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
